participant_id,assignment,total_videos,total_adjusted_videos,playlist_videos,all_ai_videos,ai_adjusted_videos,share_ai_adjusted_videos,total_watch_time,total_adjusted_watch_time,playlist_watch_time,all_ai_watch_time,ai_adjusted_watch_time,share_ai_adjusted_watch_time
788aa07483bfcc47c4f10f5c6b955652a071756c8332481b1d868141fc45c856,Treatment,219,219,0,0,0,0.0,3645.826,3645.826,0.0,0.0,0.0,0.0
30182bb8f5d21d15a630e374ecd155d5800969fadbd9535bf0204877a7b2bc51,Treatment,1212,1212,0,1,1,0.0008250825082508251,739443.135,739443.135,0.0,39.463,39.463,5.3368539285985796e-05
409d193a6660f2e78a1e446bdefc27743e2662d8f4596d042e351aad415d017c,Treatment,196,196,0,0,0,0.0,133722.948,133722.948,0.0,0.0,0.0,0.0
c25900875259630cd656132fdccb5b4949695ac9547cf9f4bec5d0e538833c79,Control,17,17,0,0,0,0.0,17684.635000000002,17684.635000000002,0.0,0.0,0.0,0.0
bbb57d2b17138e7b3c71993c8723c1e9cb4faef00b087754fb49d53efc68e3f2,Control,72,72,0,3,3,0.041666666666666664,70527.609,70527.609,0.0,7925.084000000001,7925.084000000001,0.11236853357668769
6cd278bc1e91d32006603e95435f79ef27271e7b032f60771c350bc2e350bd7f,Treatment,36,36,0,1,1,0.027777777777777776,228655.333,228655.333,0.0,0.062,0.062,2.7115046557868823e-07
343f0f9dbf9c2464e00b43dc94ce3c70bf92751f06761c103e986a890943027f,Treatment,2124,2124,0,11,11,0.005178907721280603,542193.54,542193.54,0.0,3652.322,3652.322,0.006736196082306698
d97fb9f6d5e290c30e5e39a64a08ca7415fe35362f7239d3fe06eb833d253031,Treatment,460,460,0,7,7,0.015217391304347827,66712.775,66712.775,0.0,106.203,106.203,0.0015919439717505383
0ec80ff80b476591a4641f77e1f6b74030de6dd034e10796d6ac3db251c2ec5a,Treatment,449,449,0,0,0,0.0,659514.406,659514.406,0.0,0.0,0.0,0.0
9e05ab6a23383ed68859e280ff196a5d0e9d10fdabecea5bbfb54c275943741c,Control,1859,1859,0,39,39,0.02097902097902098,411914.13300000003,411914.13300000003,0.0,4947.062,4947.062,0.012009935090039748
e493ee367fde2db65ccd50297141fdcc1815bf2b4f170714d95dc280198928a4,Treatment,902,902,0,1,1,0.0011086474501108647,288566.32999999996,288566.32999999996,0.0,680.0,680.0,0.002356477278551521
872b85a1b77135b7ea0c75aad5ed40a7e2e3ea8bb27df344a6df3c6247756da4,Control,640,640,0,15,15,0.0234375,113828.799,113828.799,0.0,581.359,581.359,0.005107310321353738
c43a9511960d294135191f28ef364e7771a544f3745545b1a1caf87fb39548b8,Control,288,288,0,0,0,0.0,274724.85599999997,274724.85599999997,0.0,0.0,0.0,0.0
3badd1f58fd86e36a7607b5953cdac06981ef38491dd0bafde0e4e4684d88bc2,Treatment,1193,1193,0,3,3,0.002514668901927913,168401.418,168401.418,0.0,721.859,721.859,0.004286537539725467
b52268d534e131449974540b296433d2526cbdb5752fa3607d1105b212fdfb13,Treatment,889,889,0,5,5,0.00562429696287964,170038.288,170038.288,0.0,217.669,217.669,0.0012801175697558188
7f29fcbe9c459544c29b242b68c22220f9730a3ac95b19b71004da3ae18d0969,Treatment,261,261,0,3,3,0.011494252873563218,123232.876,123232.876,0.0,110.0,110.0,0.0008926189469115368
f07c7afb6e949632d754bec8bb501ff855220c82d2155f1369084e29c10f744e,Treatment,273,273,0,12,12,0.04395604395604396,54835.710999999996,54835.710999999996,0.0,490.216,490.216,0.008939721780939432
0d0fd47f86d28891866e056640159b63eec69545f0d1d1f081dc1b2af5a134dc,Treatment,565,565,0,15,15,0.02654867256637168,141465.18,141465.18,0.0,1316.9799999999998,1316.9799999999998,0.00930957002988297
f5c7586d7dcaa45e87b39ed04c93774f0570dcb138484208d7fc4efcaf364712,Treatment,103,103,0,0,0,0.0,142573.08800000005,142573.08800000005,0.0,0.0,0.0,0.0
3170e762d7439aa598f47d2401e3ff98955a39c4490f67a6db938e3055941bf3,Control,158,158,0,1,1,0.006329113924050633,67280.06,67280.06,0.0,15.292,15.292,0.00022728873904095807
bd40840d9e19a7fabda003803e6405ad1de6d47cc6d5758734f632868db558cd,Control,73,73,0,1,1,0.0136986301369863,37516.424999999996,37516.424999999996,0.0,4.434,4.434,0.00011818823355370349
